Dataset,Index,p50 (ms),p95 (ms),p99 (ms),p999 (ms),achieved recall
SIFT1M,SuCo,6.803,6.961,7.169,7.345,0.962
SIFT1M,SHG,0.548,0.761,0.827,1.391,0.966
SIFT1M,CSPG,0.682,0.907,0.99,1.526,0.974
SIFT1M,HNSW32,0.375,0.483,0.531,0.58,0.967
SIFT1M,HNSW48,0.403,0.501,0.545,0.602,0.966
SIFT10M,SuCo,194.166,201.093,201.839,202.527,0.98
SIFT10M,SHG,1.124,1.43,1.571,2.225,0.963
SIFT10M,CSPG,1.258,1.84,1.998,2.164,0.967
SIFT10M,HNSW32,0.605,0.793,0.852,0.922,0.956
SIFT10M,HNSW48,0.71,0.862,0.917,1.035,0.962
GIST1M,SuCo,17.162,17.866,18.116,18.424,0.977
GIST1M,SHG,4.934,6.243,6.516,6.858,0.955
GIST1M,CSPG,6.1,8.085,8.546,8.756,0.965
GIST1M,HNSW32,4.295,5.677,5.957,6.293,0.964
GIST1M,HNSW48,3.869,4.856,5.064,5.169,0.956
DEEP1M,SuCo,6.97,7.271,7.398,8.44,0.975
DEEP1M,SHG,0.475,0.624,0.734,1.302,0.958
DEEP1M,CSPG,0.465,0.611,0.659,1.381,0.965
DEEP1M,HNSW32,0.324,0.411,0.449,0.489,0.956
DEEP1M,HNSW48,0.364,0.451,0.5,0.559,0.957
DEEP10M,SuCo,200.037,201.591,202.447,209.993,0.98
DEEP10M,SHG,1.262,1.639,1.842,2.227,0.965
DEEP10M,CSPG,1.064,1.482,1.621,2.058,0.954
DEEP10M,HNSW32,0.662,0.849,0.91,0.969,0.954
DEEP10M,HNSW48,0.83,1.025,1.132,1.222,0.965
SPACEV10M,SuCo,196.015,196.972,197.37,197.991,0.95
SPACEV10M,SHG,1.444,2.253,2.498,2.896,0.951
SPACEV10M,CSPG,1.994,2.72,3.047,3.612,0.956
SPACEV10M,HNSW32,1.185,1.64,1.801,2.02,0.951
SPACEV10M,HNSW48,1.359,1.923,2.126,2.374,0.963
MSong,SuCo,16.538,17.273,17.397,18.096,0.958
MSong,SHG,0.599,0.785,0.834,0.87,0.96
MSong,CSPG,0.45,0.625,0.751,0.79,0.959
MSong,HNSW32,0.448,0.615,0.668,0.684,0.967
MSong,HNSW48,0.464,0.582,0.605,0.644,0.963
Enron,SHG,0.597,0.938,1,10.371,0.95
Enron,CSPG,0.467,0.805,0.878,1.32,0.952
Enron,HNSW32,0.447,0.737,0.768,0.794,0.954
Enron,HNSW48,0.542,0.822,0.919,1.338,0.953
OpenAI1M,SuCo,32.999,33.973,34.684,36.201,0.975
OpenAI1M,SHG,0.679,1.023,1.17,1.578,0.975
OpenAI1M,CSPG,0.624,0.905,1.018,1.363,0.971
OpenAI1M,HNSW32,0.351,0.491,0.555,0.681,0.96
OpenAI1M,HNSW48,0.383,0.541,0.642,0.814,0.953
MSTuring10M,SuCo,279.384,279.91,280.258,280.607,0.952
MSTuring10M,SHG,4.655,6.3,6.701,7.418,0.956
MSTuring10M,CSPG,5.135,6.779,7.382,7.853,0.955
MSTuring10M,HNSW32,4.433,5.845,6.138,6.431,0.96
MSTuring10M,HNSW48,3.099,4.065,4.301,4.583,0.955
