Dataset,Index,recall@1000 qps,recall@10000 qps
SIFT1M,SuCo,0.989,—
SIFT1M,SHG,1,0.99
SIFT1M,CSPG,1,0.989
SIFT1M,HNSW32,1,0.993
SIFT1M,HNSW48,1,0.994
SIFT10M,SHG,1,0.979
SIFT10M,CSPG,0.999,0.98
SIFT10M,HNSW32,1,0.991
SIFT10M,HNSW48,1,0.992
GIST1M,SuCo,0.709,—
GIST1M,SHG,0.972,—
GIST1M,CSPG,0.946,0.615
GIST1M,HNSW32,0.963,0.641
GIST1M,HNSW48,0.97,0.54
DEEP1M,SuCo,0.988,—
DEEP1M,SHG,1,0.991
DEEP1M,CSPG,1,0.985
DEEP1M,HNSW32,1,0.993
DEEP1M,HNSW48,1,0.991
DEEP10M,SHG,0.999,0.95
DEEP10M,CSPG,0.997,0.954
DEEP10M,HNSW32,0.998,0.954
DEEP10M,HNSW48,0.999,0.966
SPACEV10M,SHG,0.992,0.961
SPACEV10M,CSPG,0.986,0.952
SPACEV10M,HNSW32,0.985,0.953
SPACEV10M,HNSW48,0.992,0.973
MSong,SuCo,0.764,—
MSong,SHG,1,0.976
MSong,CSPG,1,0.893
MSong,HNSW32,1,0.985
MSong,HNSW48,1,0.975
Enron,SHG,1,0.929
Enron,CSPG,0.996,0.884
Enron,HNSW32,0.999,0.953
Enron,HNSW48,0.999,0.926
OpenAI1M,SuCo,0.647,—
OpenAI1M,SHG,0.992,—
OpenAI1M,CSPG,0.992,—
OpenAI1M,HNSW32,0.992,0.865
OpenAI1M,HNSW48,0.993,0.87
MSTuring10M,SHG,0.966,0.809
MSTuring10M,CSPG,0.963,0.806
MSTuring10M,HNSW32,0.967,0.867
MSTuring10M,HNSW48,0.975,0.877
UQ-V,SuCo,0.861,—
UQ-V,SHG,0.885,0.873
UQ-V,CSPG,0.869,0.867
UQ-V,HNSW32,0.857,0.855
UQ-V,HNSW48,0.883,0.874
