Dataset,Index,qps@t1,eff@t1,qps@t2,eff@t2,qps@t4,eff@t4,qps@t8,eff@t8,qps@t16,eff@t16,qps@t32,eff@t32
SIFT1M,SHG,4543.2,1,4211.8,0.464,4167.2,0.229,4159.1,0.114,4104.3,0.056,4090.4,0.028
SIFT1M,CSPG,5527.8,1,5491,0.497,5453,0.247,5303.6,0.12,5255.3,0.059,5193.2,0.029
SIFT1M,HNSW32,6345.7,1,6294,0.496,6250.1,0.246,6158.7,0.121,6012.5,0.059,5622.5,0.028
SIFT1M,HNSW48,5737.8,1,5719.1,0.498,5674.5,0.247,5664.7,0.123,5568.5,0.061,5517.6,0.03
SIFT10M,SHG,2167.3,1,4238.2,0.978,8041.6,0.928,"15,029",0.867,"25,250",0.728,"31,252",0.451
SIFT10M,CSPG,2776.9,1,5294.1,0.953,"10,197",0.918,"19,013",0.856,"31,672",0.713,"39,969",0.45
SIFT10M,HNSW32,3828.2,1,7509.1,0.981,"14,469",0.945,"26,353",0.86,"42,872",0.7,"53,517",0.437
SIFT10M,HNSW48,3255.6,1,6361.5,0.977,"12,234",0.939,"22,280",0.855,"35,972",0.691,"44,474",0.427
GIST1M,SHG,449.2,1,844.8,0.94,1482.1,0.825,2561,0.713,3323.8,0.462,3287.2,0.229
GIST1M,CSPG,490.8,1,913,0.93,1693.4,0.863,2799,0.713,4006.5,0.51,3955.2,0.252
GIST1M,HNSW32,643.2,1,1215.3,0.945,2194.9,0.853,3574.4,0.695,4459,0.433,4101.3,0.199
GIST1M,HNSW48,522.9,1,1007.7,0.964,1819.9,0.87,2960.2,0.708,3594.6,0.43,3471.7,0.207
DEEP1M,SHG,4746.9,1,9306.6,0.98,"17,717",0.933,"33,080",0.871,"58,329",0.768,"83,330",0.549
DEEP1M,CSPG,5513.3,1,"10,915",0.99,"21,204",0.961,"40,294",0.914,"70,206",0.796,"100,216",0.568
DEEP1M,HNSW32,7397.8,1,"14,532",0.982,"27,836",0.941,"52,945",0.895,"93,718",0.792,"111,927",0.473
DEEP1M,HNSW48,6593.4,1,"12,845",0.974,"24,472",0.928,"46,378",0.879,"81,398",0.772,"113,477",0.538
DEEP10M,SHG,2325.1,1,4624.4,0.994,8981.4,0.966,"17,022",0.915,"30,231",0.813,"42,388",0.57
DEEP10M,CSPG,2505.6,1,4822.3,0.962,9518.7,0.95,"18,081",0.902,"31,672",0.79,"44,538",0.555
DEEP10M,HNSW32,3239,1,6204.9,0.958,"12,131",0.936,"22,980",0.887,"40,303",0.778,"53,177",0.513
DEEP10M,HNSW48,3637.2,1,7042,0.968,"13,775",0.947,"26,008",0.894,"45,180",0.776,"58,443",0.502
SPACEV10M,SHG,1903,1,3753.2,0.986,7124.9,0.936,"13,549",0.89,"24,203",0.795,"32,804",0.539
SPACEV10M,CSPG,2314.9,1,4458.9,0.963,8539.3,0.922,"16,588",0.896,"29,883",0.807,"43,257",0.584
SPACEV10M,HNSW32,2993.1,1,5948,0.994,"11,277",0.942,"21,391",0.893,"37,630",0.786,"48,707",0.509
SPACEV10M,HNSW48,2902.6,1,5774.5,0.995,"10,921",0.941,"20,805",0.896,"36,510",0.786,"46,399",0.5
MSong,SHG,3399.4,1,6595.1,0.97,"12,283",0.903,"21,473",0.79,"31,546",0.58,"34,210",0.314
MSong,CSPG,4354.7,1,6702.5,0.77,"12,156",0.698,"12,304",0.353,"12,252",0.176,"11,744",0.084
MSong,HNSW32,6630.5,1,"12,761",0.962,"23,440",0.884,"39,958",0.753,"55,583",0.524,"60,396",0.285
MSong,HNSW48,4712.3,1,9009.5,0.956,"16,441",0.872,"27,633",0.733,"37,648",0.499,"40,195",0.267
OpenAI1M,SHG,2537.6,1,5018.1,0.989,9276.5,0.914,"15,103",0.744,"18,858",0.464,"18,124",0.223
OpenAI1M,CSPG,2932.4,1,5559.9,0.948,"10,249",0.874,"16,413",0.7,"20,927",0.446,"20,026",0.213
OpenAI1M,HNSW32,4037,1,7735,0.958,"14,194",0.879,"22,227",0.688,"26,770",0.414,"25,513",0.197
OpenAI1M,HNSW48,3056.4,1,5825,0.953,"10,594",0.867,"16,378",0.67,"19,534",0.399,"18,584",0.19
