Dataset,Index,recall@1000 qps,recall@10000 qps
SIFT1M,SuCo,1,—
SIFT1M,SHG,1,1
SIFT1M,CSPG,1,1
SIFT1M,HNSW32,1,1
SIFT1M,HNSW48,1,1
SIFT1M,OPQ-IVFPQ,0.711,0.71
SIFT10M,SHG,1,0.996
SIFT10M,CSPG,1,0.994
SIFT10M,HNSW32,1,0.998
SIFT10M,HNSW48,1,0.998
SIFT10M,OPQ-IVFPQ,0.662,0.655
GIST1M,SuCo,0.98,—
GIST1M,SHG,0.99,0.732
GIST1M,CSPG,0.985,0.781
GIST1M,HNSW32,0.982,0.795
GIST1M,HNSW48,0.986,0.791
GIST1M,OPQ-IVFPQ,0.517,0.502
DEEP1M,SuCo,0.999,—
DEEP1M,SHG,1,0.999
DEEP1M,CSPG,1,0.999
DEEP1M,HNSW32,1,0.999
DEEP1M,HNSW48,1,1
DEEP1M,OPQ-IVFPQ,0.605,0.605
DEEP10M,SHG,0.999,0.994
DEEP10M,CSPG,0.999,0.993
DEEP10M,HNSW32,0.998,0.995
DEEP10M,HNSW48,0.999,0.996
DEEP10M,OPQ-IVFPQ,0.559,0.555
SPACEV10M,SHG,0.994,0.972
SPACEV10M,CSPG,0.987,0.963
SPACEV10M,HNSW32,0.986,0.966
SPACEV10M,HNSW48,0.993,0.976
SPACEV10M,OPQ-IVFPQ,0.681,0.657
MSong,SuCo,0.935,—
MSong,SHG,1,1
MSong,CSPG,1,0.94
MSong,HNSW32,1,1
MSong,HNSW48,1,1
MSong,OPQ-IVFPQ,0.76,0.76
Enron,SHG,1,0.975
Enron,CSPG,0.995,0.905
Enron,HNSW32,0.99,0.96
Enron,HNSW48,0.995,0.965
Enron,OPQ-IVFPQ,0.735,0.735
OpenAI1M,SuCo,0.955,—
OpenAI1M,SHG,1,1
OpenAI1M,CSPG,1,1
OpenAI1M,HNSW32,1,0.999
OpenAI1M,HNSW48,1,0.998
OpenAI1M,OPQ-IVFPQ,1,1
MSTuring10M,SHG,0.994,0.941
MSTuring10M,CSPG,0.991,0.941
MSTuring10M,HNSW32,0.99,0.951
MSTuring10M,HNSW48,0.996,0.959
MSTuring10M,OPQ-IVFPQ,0.64,0.606
UQ-V,SuCo,1,—
UQ-V,SHG,0.65,0.648
UQ-V,CSPG,0.632,0.632
UQ-V,HNSW32,0.633,0.633
UQ-V,HNSW48,0.649,0.645
UQ-V,OPQ-IVFPQ,0.897,0.897
