Dataset,Index,p50 (ms),p95 (ms),p99 (ms),p999 (ms),achieved recall
SIFT1M,SuCo,6.34,6.489,6.55,6.686,0.93
SIFT1M,SHG,0.328,0.456,0.514,1.226,0.905
SIFT1M,CSPG,0.372,0.508,0.571,1.271,0.922
SIFT1M,HNSW32,0.214,0.292,0.319,0.35,0.905
SIFT1M,HNSW48,0.233,0.306,0.341,0.39,0.905
SIFT10M,SuCo,196.637,197.529,197.981,198.532,0.95
SIFT10M,SHG,0.64,0.843,1.019,1.52,0.904
SIFT10M,CSPG,0.693,0.985,1.096,1.578,0.913
SIFT10M,HNSW32,0.472,0.638,0.681,0.739,0.934
SIFT10M,HNSW48,0.402,0.502,0.582,0.671,0.902
GIST1M,SuCo,11.04,11.57,11.78,11.966,0.906
GIST1M,SHG,2.824,3.675,3.962,5.752,0.904
GIST1M,CSPG,3.36,4.514,4.756,4.985,0.923
GIST1M,HNSW32,2.328,3.154,3.354,3.553,0.919
GIST1M,HNSW48,2.756,3.358,3.542,3.785,0.924
DEEP1M,SuCo,6.565,6.68,6.735,7.628,0.944
DEEP1M,SHG,0.387,0.504,0.568,1.277,0.937
DEEP1M,CSPG,0.266,0.352,0.394,1.041,0.914
DEEP1M,HNSW32,0.233,0.303,0.334,0.371,0.925
DEEP1M,HNSW48,0.294,0.365,0.402,0.471,0.936
DEEP10M,SuCo,197.032,202.767,204.031,212.116,0.942
DEEP10M,SHG,0.711,0.979,1.067,1.433,0.917
DEEP10M,CSPG,0.848,1.116,1.209,1.592,0.935
DEEP10M,HNSW32,0.42,0.556,0.6,0.64,0.917
DEEP10M,HNSW48,0.465,0.597,0.655,0.758,0.916
SPACEV10M,SuCo,194.928,195.918,196.333,196.68,0.914
SPACEV10M,SHG,0.993,1.441,1.711,2.177,0.926
SPACEV10M,CSPG,0.883,1.225,1.466,1.922,0.915
SPACEV10M,HNSW32,0.53,0.758,0.861,0.992,0.911
SPACEV10M,HNSW48,0.628,0.903,1.024,1.288,0.924
MSong,SuCo,16.521,17.318,17.457,18.182,0.958
MSong,SHG,0.452,0.6,0.656,1.152,0.928
MSong,CSPG,0.358,0.513,0.582,0.611,0.937
MSong,HNSW32,0.263,0.36,0.407,0.427,0.917
MSong,HNSW48,0.344,0.445,0.481,0.53,0.929
OpenAI1M,SuCo,17.49,17.829,18.597,20.782,0.92
OpenAI1M,SHG,0.682,1.024,1.181,1.616,0.975
OpenAI1M,CSPG,0.631,0.916,1.026,1.357,0.971
OpenAI1M,HNSW32,0.279,0.393,0.454,0.584,0.93
OpenAI1M,HNSW48,0.384,0.54,0.64,0.822,0.953
