dataset,index,baseline,target,ratio,lo,hi,half_width_pct,cv_base_pct,cv_idx_pct,dof,excludes_parity,ms_baseline,ms_index
deep10m,SuCo,HNSW32,0.8,0.0011502720973061613,0.0011478204947887548,0.0011527289361431235,0.21336001133400806,0.08391447675504972,0.018277654914911096,2.189343652604654,True,0.007934848161378445,6.898235799999999
deep10m,SHG,HNSW48,0.8,0.7241577120770178,0.7234922422674535,0.7248237939872264,0.09193796444933341,0.037749437574948,0.043192086652324636,3.9295689148586046,True,0.009642259121061363,0.013315136965683325
deep10m,CSPG,HNSW32,0.8,0.7466809691485063,0.7454617918014714,0.7479021404185294,0.16341307183983145,0.08391447675504972,0.057914622872192206,3.55295508548818,True,0.007934848161378445,0.010626825229558374
deep10m,HNSW48,HNSW32,0.8,0.8229241780120325,0.8215342625158175,0.8243164450414395,0.16904245858610148,0.08391447675504972,0.037749437574948,2.7776348560557933,True,0.007934848161378445,0.009642259121061363
deep10m,IVFFlat,HNSW32,0.8,0.21802835702976764,0.2162022692123579,0.21986986835188452,0.8410830566929111,0.08391447675504972,0.3279856444882684,2.2607157225391017,True,0.007934848161378445,0.03639365204359675
deep10m,OPQ-IVFPQ,HNSW32,0.8,,,,,,,,,,
deep10m,OPQ-IVFPQ+SQ8,HNSW32,0.8,0.5054940316362406,0.5039035738321028,0.507089509361169,0.3151308749139539,0.08391447675504972,0.1496072788847605,3.145089697926092,True,0.007934848161378445,0.015697214338404798
deep10m,SuCo,HNSW32,0.9,0.0020157046221842578,0.0018418559118231115,0.002205962528237763,9.03174533628093,3.628756366042455,0.11407026226837182,2.0039526542399857,True,0.013979025417120062,6.9350564875780805
deep10m,SHG,HNSW48,0.9,0.7303762568365605,0.7290524720066561,0.7317024453429396,0.18141151984876674,0.0891860626591615,0.04238948648968014,2.859738312095143,True,0.016227477450980396,0.02221796957264958
deep10m,CSPG,HNSW32,0.9,0.748656344734818,0.6840149084136434,0.8194065883908432,9.042311664716937,3.628756366042455,0.20925428819260425,2.0133011227334165,True,0.013979025417120062,0.018672152470799643
deep10m,HNSW48,HNSW32,0.9,0.8614416787419727,0.7871584414623105,0.942734939734899,9.030007608860322,3.628756366042455,0.0891860626591615,2.00241622956503,True,0.013979025417120062,0.016227477450980396
deep10m,IVFFlat,HNSW32,0.9,0.17490649915441833,0.15982005769108326,0.1914170466987721,9.03253714425816,3.628756366042455,0.12376186503812717,2.0046528330846987,True,0.013979025417120062,0.07992284726240223
deep10m,OPQ-IVFPQ,HNSW32,0.9,,,,,,,,,,
deep10m,OPQ-IVFPQ+SQ8,HNSW32,0.9,0.35118617571888416,0.32065156779799375,0.3846284952324086,9.108691038799147,3.628756366042455,0.48778792067548565,2.0722544626562702,True,0.013979025417120062,0.03980516997431563
deep10m,SuCo,HNSW32,0.95,0.003235608899071759,0.003208080657115093,0.0032633733583141544,0.8544404302838297,0.16642139254223523,0.4342955036052423,2.574966798998833,True,0.022763221187800955,7.035220231447421
deep10m,SHG,HNSW48,0.95,0.7350595899362193,0.7324201200407395,0.7377085718605725,0.359729462225765,0.0363754720280076,0.14015512352877843,2.2682212839429603,True,0.026233059562841526,0.03568834407713496
deep10m,CSPG,HNSW32,0.95,0.7573218502545199,0.753990529033156,0.7606678900972095,0.44085358568548877,0.16642139254223523,0.21900743667899222,3.732172850635183,True,0.022763221187800955,0.03005752597809071
deep10m,HNSW48,HNSW32,0.95,0.8677303207150298,0.8640657765531654,0.8714104063834306,0.42320924225703194,0.16642139254223523,0.0363754720280076,2.1906640636594954,True,0.022763221187800955,0.026233059562841526
deep10m,IVFFlat,HNSW32,0.95,0.15447851382485228,0.1539022372257345,0.1550569482530223,0.37374486545002533,0.16642139254223523,0.16334890655777407,3.9986118046572376,True,0.022763221187800955,0.1473552575318655
deep10m,OPQ-IVFPQ,HNSW32,0.95,,,,,,,,,,
deep10m,OPQ-IVFPQ+SQ8,HNSW32,0.95,,,,,,,,,,
deep10m,SuCo,HNSW32,0.99,0.00932583850891325,0.009279590663057877,0.009372316845888752,0.49714662516540026,0.06541424912576502,0.1891178930716401,2.4718099331753725,True,0.06921534032168605,7.421889222672353
deep10m,SHG,HNSW48,0.99,0.7390697554187834,0.7385628691358508,0.7395769895850371,0.06860789808749007,0.03508331386146196,0.024527620363470583,3.5780936002047885,True,0.06649841133864226,0.08997582549019595
deep10m,CSPG,HNSW32,0.99,0.6871459435626477,0.6855958707980279,0.6886995209072657,0.22583631165355864,0.06541424912576502,0.10407920400512426,3.3667977144288175,True,0.06921534032168605,0.10072873305898462
deep10m,HNSW48,HNSW32,0.99,1.040857050993412,1.039438630658433,1.0422774069080274,0.1363672488400363,0.06541424912576502,0.03508331386146196,3.062655511752493,True,0.06921534032168605,0.06649841133864226
deep10m,IVFFlat,HNSW32,0.99,0.16622188303282084,0.1659663610305758,0.1664777984370374,0.15384177977354696,0.06541424912576502,0.07024672246416641,3.9798509567769713,True,0.06921534032168605,0.41640329816272953
deep10m,OPQ-IVFPQ,HNSW32,0.99,,,,,,,,,,
deep10m,OPQ-IVFPQ+SQ8,HNSW32,0.99,,,,,,,,,,
deep1m,SuCo,HNSW32,0.8,0.029341494193572737,0.029003574380914072,0.029683351100269796,1.1583880406210356,0.4616159785045576,0.06568528927175753,2.0809573993541037,True,0.004064472785547786,0.13852303358286744
deep1m,SHG,HNSW48,0.8,0.7129903925712839,0.7056983227518256,0.7203578122683565,1.0280285449333881,0.4868429142346179,0.2758762149690281,3.164372399971495,True,0.005543666666666666,0.0077752333333333335
deep1m,CSPG,HNSW32,0.8,0.7987956277758328,0.7802786094722188,0.8177520788188478,2.34562308828418,0.4616159785045576,1.190293474585559,2.5883001360728777,True,0.004064472785547786,0.005088251167404243
deep1m,HNSW48,HNSW32,0.8,0.7331740939596753,0.7253327553634767,0.7411002027396627,1.0752867229003031,0.4616159785045576,0.4868429142346179,3.9887287467044166,True,0.004064472785547786,0.005543666666666666
