dataset	method	alpha	beta	param	qps	recall1	recall10
GIST1M	HNSW			512	1038.2353529000764	0.982	0.988
GIST1M	IVFFlat			1	14953.252245735579	0.277	0.28
GIST1M	IVFFlat			2	8827.173840263042	0.426	0.432
GIST1M	IVFFlat			4	4591.396328438317	0.568	0.574
GIST1M	IVFFlat			8	2327.3198924874505	0.711	0.717
GIST1M	IVFFlat			12	1571.9838942752892	0.8	0.806
GIST1M	IVFFlat			16	1172.3018483823612	0.849	0.855
GIST1M	IVFFlat			24	786.1745952080056	0.891	0.897
GIST1M	IVFFlat			32	596.0713828075333	0.92	0.926
GIST1M	IVFFlat			48	397.42537903804435	0.952	0.958
GIST1M	IVFFlat			64	304.7327587045967	0.97	0.976
GIST1M	IVFFlat			96	206.84513644255549	0.981	0.987
GIST1M	IVFFlat			128	157.30591803948394	0.989	0.995
GIST1M	IVFFlat			192	108.31935084327564	0.992	0.998
GIST1M	IVFFlat			256	83.61711967803988	0.993	0.999
GIST1M	IVFFlat			384	58.79939586035865	0.994	1.0
GIST1M	IVFFlat			512	46.59023077288317	0.994	1.0
GIST1M	IVFPQ			1	59776.58620321522	0.153	0.258
GIST1M	IVFPQ			2	43023.85969705211	0.184	0.374
GIST1M	IVFPQ			4	25548.466820094003	0.214	0.475
GIST1M	IVFPQ			8	15574.029607955232	0.241	0.564
GIST1M	IVFPQ			12	10477.347973825923	0.245	0.6
GIST1M	IVFPQ			16	8054.969820526227	0.249	0.626
GIST1M	IVFPQ			24	5265.164670681244	0.253	0.644
GIST1M	IVFPQ			32	4374.557658393419	0.255	0.649
GIST1M	IVFPQ			48	2704.9138454995928	0.256	0.655
GIST1M	IVFPQ			64	2288.546418144468	0.255	0.656
GIST1M	IVFPQ			96	1504.9087301094542	0.256	0.656
GIST1M	IVFPQ			128	1144.878343797274	0.256	0.656
GIST1M	IVFPQ			192	789.0394012846878	0.256	0.656
GIST1M	IVFPQ			256	601.6949297306766	0.256	0.656
GIST1M	IVFPQ			384	423.44896654409814	0.256	0.656
GIST1M	IVFPQ			512	330.38326320566654	0.256	0.656
Deep1M	SuCo	0.005	0.0005		460.9888068466107	0.8052	0.8053
Deep1M	SuCo	0.008	0.0008		451.2332647763383	0.8919	0.892
Deep1M	SuCo	0.01	0.001		444.5991295316591	0.9199	0.92
Deep1M	SuCo	0.015	0.0015		413.8873170521525	0.9566	0.9567
Deep1M	SuCo	0.02	0.002		401.45341457142723	0.9711	0.9713
Deep1M	SuCo	0.03	0.003		384.70390720386337	0.9833	0.9835
Deep1M	SuCo	0.05	0.005000000000000001		333.36338095278876	0.9961	0.9963
Deep1M	SuCo	0.07	0.007000000000000001		299.3936750428848	0.9986	0.9988
Deep1M	SuCo	0.1	0.010000000000000002		278.38496018313197	0.9993	0.9994
Deep1M	SuCo	0.15	0.015		222.8034510306752	0.9996	0.9998
Deep1M	SuCo	0.2	0.020000000000000004		191.6595142675614	0.9996	0.9998
Deep1M	SuCo	0.3	0.03		136.86905474401755	0.9996	0.9998
Deep1M	HNSW			8	144078.3779454162	0.8151	0.8154
Deep1M	HNSW			12	114000.76708775597	0.8774	0.8777
Deep1M	HNSW			16	95524.59350969688	0.9112	0.9115
Deep1M	HNSW			24	72384.3242223548	0.9456	0.9459
Deep1M	HNSW			32	58095.41445627173	0.9639	0.9642
Deep1M	HNSW			48	41371.78495988323	0.981	0.9813
Deep1M	HNSW			64	31815.12024902702	0.9888	0.9891
Deep1M	HNSW			96	22534.92353147533	0.9938	0.9941
Deep1M	HNSW			128	17383.57119815538	0.9957	0.996
Deep1M	HNSW			192	12006.977864786337	0.9988	0.9991
Deep1M	HNSW			256	9298.68395726341	0.9993	0.9996
Deep1M	HNSW			384	6005.936416499203	0.9994	0.9997
Deep1M	HNSW			512	4420.354494748686	0.9996	0.9999
Deep1M	IVFFlat			1	226273.99500116077	0.4886	0.4888
Deep1M	IVFFlat			2	126876.31675332072	0.6611	0.6613
Deep1M	IVFFlat			4	66505.04079620625	0.7974	0.7976
Deep1M	IVFFlat			8	34965.22336162818	0.8952	0.8954
Deep1M	IVFFlat			12	23826.70127264936	0.9337	0.9339
Deep1M	IVFFlat			16	18355.644735793234	0.9538	0.954
Deep1M	IVFFlat			24	12624.846587139977	0.9747	0.9749
Deep1M	IVFFlat			32	9688.41687998457	0.9836	0.9838
Deep1M	IVFFlat			48	6603.702742751888	0.9924	0.9926
Deep1M	IVFFlat			64	5096.972883188786	0.9959	0.9961
Deep1M	IVFFlat			96	3471.2488466812283	0.9973	0.9975
Deep1M	IVFFlat			128	2622.816325090258	0.9988	0.999
Deep1M	IVFFlat			192	1792.7643982990755	0.9991	0.9993
Deep1M	IVFFlat			256	1361.5821074526837	0.9994	0.9996
Deep1M	IVFFlat			384	917.6524746206054	0.9994	0.9996
Deep1M	IVFFlat			512	692.993355243206	0.9997	0.9999
Deep1M	IVFPQ			1	362807.39490800217	0.1583	0.3869
Deep1M	IVFPQ			2	290868.8981238372	0.1832	0.4857
Deep1M	IVFPQ			4	213066.8577214811	0.1967	0.5498
Deep1M	IVFPQ			8	121623.79934702483	0.2026	0.5834
Deep1M	IVFPQ			12	93977.78600030558	0.2045	0.5932
Deep1M	IVFPQ			16	72926.62760843342	0.2053	0.5969
Deep1M	IVFPQ			24	52886.174662004756	0.2059	0.5995
Deep1M	IVFPQ			32	41058.48073530312	0.2059	0.5999
Deep1M	IVFPQ			48	29376.120930333647	0.2058	0.6005
Deep1M	IVFPQ			64	22176.872587584963	0.2059	0.6011
Deep1M	IVFPQ			96	15267.591270588335	0.2059	0.6011
Deep1M	IVFPQ			128	11215.180195000938	0.2059	0.6011
Deep1M	IVFPQ			192	7803.483824303135	0.2059	0.6011
Deep1M	IVFPQ			256	5917.480728870741	0.2059	0.6011
Deep1M	IVFPQ			384	4112.022527015426	0.2059	0.6011
Deep1M	IVFPQ			512	3170.7255785351626	0.2059	0.6011
