d,build_s,recall,ndis_per_query,ms_per_query,ms_std,qps,achieved_gbs,invariant
128,32.876,0.99198,2517.6,0.029243,1.8e-05,34196.0,44.08,True
256,0.0,0.99198,2517.6,0.051758,2.1e-05,19320.5,49.81,True
512,0.0,0.99198,2517.6,0.090329,9.5e-05,11070.7,57.08,True
1024,0.0,0.99198,2517.6,0.154962,2.6e-05,6453.2,66.54,True
